CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases
1,47,Other,East,Silver,4
2,28,-,-,-,3
3,35,Male,South,Silver,5
4,63,Other,North,Gold,5
5,37,Other,South,Bronze,12
6,27,Male,North,Platinum,5
7,30,Male,South,Silver,5
8,28,Other,South,Gold,8
9,27,Other,East,Bronze,-
10,65,Other,South,Bronze,7
11,35,Male,East,Gold,-
12,48,Female,North,Platinum,4
13,67,Other,North,Gold,6
14,35,Female,North,Gold,8
15,33,Female,North,-,3
16,47,Male,North,Platinum,5
17,38,Male,East,-,15
18,25,Female,North,Gold,3
19,40,Male,South,Bronze,6
20,77,Other,West,Silver,5
21,20,Other,East,Bronze,6
22,28,Female,South,Bronze,10
23,35,Female,West,Gold,5
24,47,Other,West,Silver,6
25,57,Other,East,Gold,7
26,47,Female,-,Bronze,12
27,63,Other,West,Gold,8
28,33,Male,-,Platinum,8
29,70,Male,East,Platinum,-
30,60,Female,-,Gold,2
31,67,Male,West,Gold,3
32,79,Female,East,Gold,8
33,27,-,East,-,6
34,74,-,South,Gold,11
35,28,Female,East,Platinum,3
36,64,Other,-,Silver,-
37,62,Female,North,Gold,7
38,69,Female,West,Silver,5
39,62,Other,South,Gold,7
40,77,Male,East,Silver,7
41,35,Female,South,Platinum,5
42,75,Female,West,Bronze,7
43,27,Female,East,Silver,5
44,36,Male,East,Platinum,6
45,25,Male,South,Silver,2
46,67,Other,North,Platinum,4
47,77,Female,West,Bronze,11
48,22,Other,West,Platinum,8
49,51,Other,West,Gold,9
50,27,Female,East,Gold,5
51,43,Female,East,Silver,3
52,38,Other,East,Gold,5
53,43,Male,South,Gold,3
54,27,Other,West,Bronze,5
55,36,Male,West,Gold,5
56,56,Male,West,Gold,3
57,35,Other,North,Silver,4
58,51,Female,East,Gold,6
59,40,Other,West,Gold,9
60,51,Other,West,Platinum,6
61,36,Male,East,Platinum,5
62,78,Other,East,Silver,8
63,58,Female,West,Silver,4
64,59,Other,South,Silver,6
65,24,Other,South,Gold,8
66,57,Male,South,Gold,2
67,21,Female,South,Gold,8
68,72,Female,North,Gold,8
69,35,Male,South,Gold,5
70,75,Female,West,Gold,6
71,67,Female,West,Platinum,7
72,63,Other,West,Silver,5
73,36,Male,South,Silver,5
74,38,Female,East,Gold,4
75,74,Male,West,Bronze,8
76,36,Other,South,Platinum,3
77,27,Female,North,Silver,2
78,28,Male,North,Platinum,5
79,45,Female,West,Gold,9
80,52,Male,East,Platinum,10
81,40,Other,North,Silver,5
82,20,Other,South,Platinum,10
83,38,Female,South,Platinum,3
84,35,Female,North,Bronze,8
85,27,Male,West,Platinum,4
86,70,Female,West,Silver,10
87,66,Other,North,Silver,7
88,28,Other,South,Silver,7
89,20,Other,East,Silver,7
90,67,Female,South,Gold,6
91,57,Male,East,Bronze,5
92,47,Other,East,Gold,5
93,63,Other,North,Silver,6
94,62,Female,West,Platinum,5
95,52,Female,East,Silver,6
96,57,Female,South,Silver,7
97,54,Female,West,Bronze,6
98,35,Male,West,Bronze,4
99,38,Female,South,Platinum,4
100,56,Male,North,Gold,8
101,59,Male,West,Silver,2
102,67,Other,East,Bronze,4
103,35,Other,South,Platinum,3
104,22,Female,East,Silver,6
105,67,Other,South,Gold,5
106,79,Male,South,Gold,7
107,37,Female,West,Bronze,4
108,40,Female,South,Gold,7
109,70,Female,West,Platinum,5
110,75,Female,South,Bronze,5
111,27,Other,West,Silver,7
112,25,Female,West,Bronze,8
113,27,Male,North,Platinum,3
114,28,Female,West,Platinum,5
115,69,Other,West,Gold,7
116,60,Male,West,Silver,10
117,47,Other,North,Platinum,7
118,59,Other,East,Gold,9
119,65,Other,East,Silver,7
120,38,Other,North,Silver,6
121,21,Female,West,Platinum,9
122,67,Other,West,Silver,12
123,35,Female,South,Silver,5
124,47,Female,East,Gold,4
125,27,Other,West,Bronze,5
126,60,Male,West,Silver,6
127,67,Other,East,Gold,4
128,20,Other,West,Gold,4
129,67,Female,North,Gold,8
130,53,Female,West,Platinum,6
131,50,Female,West,Platinum,4
132,49,Female,East,Bronze,10
133,32,Other,North,Platinum,4
134,36,Male,South,Gold,6
135,67,Male,East,Gold,7
136,27,Male,South,Bronze,9
137,56,Male,South,Gold,5
138,33,Female,North,Platinum,6
139,70,Other,South,Gold,3
140,26,Female,North,Bronze,7
141,19,Female,West,Bronze,4
142,27,Other,North,Bronze,9
143,75,Other,East,Silver,7
144,40,Other,South,Platinum,6
145,54,Female,North,Bronze,3
146,19,Male,East,Silver,8
147,54,Female,North,Platinum,5
148,53,Female,South,Silver,5
149,27,Other,South,Platinum,4
150,27,Female,East,Platinum,5
151,60,Male,East,Platinum,3
152,28,Male,East,Bronze,11
153,27,Female,East,Platinum,5
154,22,Other,East,Silver,4
155,67,Female,South,Gold,5
156,50,Male,West,Gold,5
157,20,Male,East,Platinum,9
158,21,Female,West,Bronze,3
159,31,Male,East,Platinum,4
160,28,Female,East,Silver,6
161,70,Male,East,Gold,7
162,45,Other,South,Silver,7
163,22,Male,West,Silver,4
164,22,Female,South,Gold,5
165,51,Female,North,Bronze,8
166,34,Other,East,Silver,8
167,74,Male,East,Gold,4
168,27,Female,West,Bronze,5
169,67,Male,South,Silver,5
170,27,Other,South,Silver,4
171,28,Female,South,Silver,3
172,57,Other,East,Silver,10
173,19,Female,West,Platinum,7
174,45,Male,North,Bronze,4
