CustomerID,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,WebsiteVisits,Churn
1,482.9683581,Books,2022/3/6 13:56,Other,14,1
2,344.8933535,Home Goods,2023/12/19 7:28,Doctor,7,0
3,546.9302086,Home Goods,2023/12/11 11:29,Student,9,0
4,613.871122,Clothing,2023/7/18 18:17,Doctor,10,0
5,-,Electronics,-,Engineer,-,1
6,527.8042333,Home Goods,2023/6/9 19:57,Unemployed,7,0
7,534.976474,Books,2023/3/26 14:20,Unemployed,9,1
8,808.1474203,Home Goods,2023/9/27 23:24,Unemployed,6,0
9,898.4074868,Electronics,-,Unemployed,12,0
10,803.9542425,Clothing,2023/7/20 9:13,Engineer,11,0
11,732.2318353,Electronics,2023/11/20 10:50,Student,15,0
12,485.359105,Electronics,2023/11/22 12:28,Student,8,0
13,716.084923,-,2022/9/18 9:27,Doctor,7,1
14,824.8826487,Home Goods,2023/3/19 2:35,Artist,11,1
15,356.847088,-,2022/7/30 1:40,Unemployed,14,1
16,575.6191715,Books,2023/6/6 4:14,Student,10,0
17,1480.610583,Electronics,2022/7/30 7:32,Engineer,-,1
18,-,Clothing,-,Artist,17,1
19,651.5347565,Home Goods,-,Doctor,6,1
20,647.3415787,Home Goods,2023/11/19 4:59,-,6,-
21,603.7198183,Clothing,2023/10/6 10:33,Student,10,0
22,993.449047,Sports,2023/6/24 0:11,-,-,-
23,546.9302086,Books,2023/8/22 0:12,Engineer,6,0
24,668.2699848,Home Goods,2023/6/21 7:44,Other,-,0
25,784.8282673,Home Goods,2023/4/27 20:32,Student,7,1
26,-,Books,2023/6/4 18:52,-,-,0
27,891.8235621,Books,-,Student,11,-
28,820.1011548,Home Goods,2022/6/9 20:46,-,9,1
29,723.2571637,Books,2023/10/9 12:08,Engineer,9,0
30,-,Books,2023/8/13 15:31,Engineer,10,0
31,438.1324829,Clothing,2023/8/28 10:01,Student,10,0
32,930.0755126,Books,-,Engineer,13,1
33,620.4550467,Clothing,2023/8/9 10:35,-,9,0
34,-,Electronics,-,Other,9,1
35,344.8933535,Books,2023/9/23 21:13,Engineer,10,0
36,523.6110555,Clothing,-,Engineer,-,0
37,796.7820018,Electronics,2023/6/14 21:15,-,9,0
38,628.2156034,Books,2023/11/26 2:42,Artist,16,0
39,796.7820018,Books,2023/7/26 2:27,Engineer,16,0
40,832.6432054,Sports,2022/3/14 21:55,Student,12,1
41,546.9302086,Home Goods,2023/9/20 18:05,Other,10,0
42,827.8617116,Sports,2022/6/23 2:40,Student,10,1
43,527.8042333,Books,2022/3/12 18:04,Student,6,1
44,641.9717688,Sports,2022/4/16 11:46,Unemployed,7,1
45,245.0702994,Sports,2022/8/5 4:49,Engineer,6,1
46,530.7832962,Books,2023/10/9 19:31,Other,9,0
47,1203.246459,Home Goods,2023/12/19 12:00,Artist,12,0
48,793.8029389,Electronics,2023/10/28 18:50,Student,5,0
49,955.7854125,Books,2023/6/13 18:27,Student,11,0
50,527.8042333,Books,2023/6/1 21:01,Other,10,0
51,380.7545571,Clothing,2023/7/20 12:56,Unemployed,7,0
52,554.1024493,Electronics,2023/11/13 7:14,Doctor,13,0
53,380.7545571,Books,2023/12/3 13:38,Unemployed,6,0
54,527.8042333,Home Goods,2023/6/9 8:39,Student,11,0
55,549.3209555,Electronics,2022/3/24 23:02,Other,8,1
56,411.8342669,Clothing,2022/5/15 3:52,Student,7,1
57,454.2793952,Electronics,2023/9/24 16:38,Engineer,9,0
58,677.8329724,Clothing,2022/2/15 23:50,Doctor,11,1
59,929.4871966,Books,2023/6/23 19:13,Student,10,0
60,677.8329724,Books,2022/1/6 12:22,Artist,11,1
61,549.3209555,Electronics,2023/8/4 7:32,Other,8,0
62,927.6847657,Home Goods,2023/8/4 1:27,Student,9,0
63,509.2665741,Sports,2023/9/12 9:47,Other,11,0
64,696.9589477,Electronics,2023/10/27 11:08,Unemployed,7,0
65,798.5844327,Sports,2022/4/1 3:56,Other,9,1
66,321.5742004,Books,2022/1/17 8:41,Unemployed,14,1
67,791.412192,Home Goods,2023/11/22 5:29,Other,13,0
68,913.3402842,Electronics,2022/3/19 1:21,Engineer,14,1
